,Likely to be sensitive to ownership cost when buying automobiles,Likely to prefer safety when buying automobiles,Likely to prefer quality when buying clothes,Likely to prefer style when buying clothes,Likely to prefer comfort when buying clothes,Likely to be influenced by brand name when making product purchases,Likely to be influenced by product utility when making product purchases,Likely to be influenced by online ads when making product purchases,Likely to be influenced by social media when making product purchases,Likely to be influenced by family when making product purchases,Likely to indulge in spur of the moment purchases,Likely to prefer using credit cards for shopping
score,0.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.5,1.0
score,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
score,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0
score,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
score,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0
score,1.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.5,1.0
score,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
score,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0
score,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0
score,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0
score,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
score,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0
score,0.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,1.0
score,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,1.0
score,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
score,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
score,0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.5,1.0
score,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0
score,1.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.5,1.0
score,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.5,1.0
score,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
score,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,1.0
score,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
score,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0
score,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
score,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0
score,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0
score,0.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,1.0
score,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.5,1.0
score,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
